_id,施設ID,地域,緯度,経度,名称,概略,郵便番号,住所,電話番号,Fax番号,E-mail,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金,備考,リンク,電話受付,画像
1,12699,金沢市,36.577185,136.647628,金沢駅ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",ＪＲ金沢駅高架下通路,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/60784/371eab66ebbf57faab3750ab1d59c3d5.JPG
2,12700,金沢市,36.576554,136.649842,金沢駅東ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",市営本町２丁目自転車駐車場,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/31309/a07ce9e5a771bb3d4f7d46be61d86b5c.JPG
3,12701,金沢市,36.573312,136.654419,武蔵ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",市営武蔵暫定自転車駐車場,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/41468/9c1474d9def82065e44428a7d9e2d43d.JPG
4,12702,金沢市,36.570722,136.656975,近江町市場ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",市営十間町自転車駐車場,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日（税別）　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/54665/58c0adf5c0559630a69e4c8b9df1db83.JPG
5,12703,金沢市,36.571198,136.662652,金沢蓄音器館ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",金沢蓄音器館,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/12547/fd9dcd73eb071c1a08bb9df60a269f1b.JPG
6,12704,金沢市,36.574532,136.665891,東山Ｂ・馬場小学校前ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",東山交差点,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日（税別）","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/59772/f32dc830ff8148ce05783d7e678cd968.jpeg
7,12705,金沢市,36.571631266622,136.66598998546,東山Ａ・秋聲のみち,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,920-0033,日本、〒920-0831 金沢市東山１丁目１８−１,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/40057/ce2f399261a9edcdf68aee6490896dcc.JPG
8,12706,金沢市,36.5710708,136.6671599,徳田秋聲記念館ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",徳田秋聲記念館,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,6500円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/38755/31bc0a7db71c6879083a46c801b22481.jpeg
9,12707,金沢市,36.566926,136.645188,長土塀青少年交流センターポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",長土塀青少年交流センター,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/46161/9bbe3b5c9cbbf8c193edebe739b85487.JPG
10,12708,金沢市,36.566517,136.65187,文化ホールポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",文化ホール,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/08947/87e799e4c54968ca35c5d4ba9aa347b6.JPG
11,12709,金沢市,36.566031,136.654564,尾山神社前ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",尾山神社前,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/63629/c31996e65b1eba58df3a7ee022d1526d.JPG
12,12710,金沢市,36.563685,136.663071,兼六園ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",兼六園,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/53390/b80bd5a218c48874ec363d2566a3d881.JPG
13,12711,金沢市,36.563054,136.650498,長町ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",中央公民館長町館,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/73460/d4ed991d517ba4915c070d75a900783d.JPG
14,12712,金沢市,36.562019,136.652486,香林坊せせらぎポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",せせらぎ通り,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/42038/6a1b67ead1aae608dae752eb69a637b5.JPG
15,12713,金沢市,36.563219,136.654692,いしかわ四高記念公園前ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",いしかわ四高記念公園前,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/78575/0b5b1810a1807a908419b9b4dd4f636f.JPG
16,12714,金沢市,36.5639177,136.6568498,しいのき迎賓館・玉泉院丸庭園ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",しいのき迎賓館,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/87755/877c4c133edde4e8632b0b9091fa1726.JPG
17,12715,金沢市,36.561477,136.657446,金沢21世紀美術館ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",金沢21世紀美術館,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/17578/ca70d65b5bdfdd1e2f6c83c4d8546cab.JPG
18,12716,金沢市,36.558578,136.661897,本多の森公園・国立工芸館ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",本多の森公園,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/78581/be1a656357ca9c140a42af75b2235617.jpg
19,12717,金沢市,36.557653,136.655177,竪町広場ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",竪町広場,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/81015/88c8772b22acc5868ed5a7a5386d64c5.JPG
20,12718,金沢市,36.557778,136.659363,ローソン本多町三丁目店ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",ローソン金沢本多町三丁目店,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/58238/11152582421f04e6536e58b0b05900aa.JPG
21,12719,金沢市,36.555379,136.671146,石引広見・大学病院前ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",石引広見,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/33765/e56cc4c2690dd285e69657342a563bfd.jpg
22,12720,金沢市,36.559049,136.648192,室生犀星記念館ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",室生犀星記念館,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/70248/49ee0902a9b3b6fb37b8aa0035ae4c86.JPG
23,12721,金沢市,36.557113,136.648033,にし茶屋街ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",にし茶屋街（暫定_観光駐車場）,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日（税別）","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/92577/3ea26f5904b80d17c0d025d3bb0077e2.JPG
24,12722,金沢市,36.556011,136.650972,金沢建築館ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",谷口吉郎・吉生記念金沢建築館,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/89069/959a1d2475c05586440d81d173631c09.JPG
25,12723,金沢市,36.554685,136.651864,寺町５丁目緑地ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",寺町５丁目緑地,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/91918/31b0f64c224c3e189e7bea24d95c883c.JPG
26,12724,金沢市,36.554072,136.644416,野町駅ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",北陸鉄道野町駅,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/81186/03972c3b280a73fd595ac3946abad8ec.JPG
27,12725,金沢市,36.575955,136.660963,小橋・おたふくポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",おたふく,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/24549/26f4d1a81a30c897569032ffe107360c.JPG
28,12726,金沢市,36.5720641,136.656882,かなざわはこまちポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",はこまち,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/33911/5230728695364132a87545765d49f514.JPG
29,12727,金沢市,36.569846,136.653221,松ヶ枝緑地ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",松ヶ枝緑地,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/15642/6f91daca22596f57bba317718446e232.JPG
30,12728,金沢市,36.569484,136.662582,NTTドコモ金沢大手町ビルポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",NTTドコモ金沢大手町ビル,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/28559/c69d4dfab17a3a5333c4971038a1b111.JPG
31,12729,金沢市,36.567493,136.65625,金沢商工会議所ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",金沢商工会議所,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/56742/ac5938baf0aa9d2ecea44e68b9c869e2.JPG
32,12730,金沢市,36.560865,136.650645,片町・アゴーラ・金沢ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",アゴーラ金沢,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/34899/ddbe47e8356f3d0fac744e2f4ed05c53.JPG
33,12731,金沢市,36.553907,136.655908,新竪町・桜橋ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",桜橋右岸下流緑地,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/59178/14d512230e45eb3207da4ef5f1a56132.JPG
