_id,施設ID,地域,緯度,経度,名称,概略,郵便番号,住所,電話番号,Fax番号,E-mail,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,料金,備考,リンク,電話受付,画像
34,12732,金沢市,36.551465,136.655081,寺町３丁目緑地ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",寺町３丁目緑地,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/72661/8856b07cf320ab22fa8a06e5f895c1da.jpg
35,12733,金沢市,36.593306,136.669673,東金沢駅ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",ＩＲ東金沢駅,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/00135/c46ab063a32e5e0f8e9a1e0a8bfbf55d.jpeg
36,12734,金沢市,36.552686,136.621474,西金沢駅ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",ＪＲ西金沢駅,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/72822/0be7343d7cac5a7e26706a5b411f897b.JPG
37,12735,金沢市,36.568716,136.639568,金沢市民芸術村ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",金沢市民芸術村,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/82315/7389f16c9dbf154ef178bdfac3282ed2.jpg
38,12736,金沢市,36.550591,136.639847,泉本町・日本海コンサルタントポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",㈱日本海コンサルタント本社,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/35007/11795450523d40d3b3cec0aa7a9bcb76.JPG
39,12737,金沢市,36.579579,136.646037,金沢駅西ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",駅西広場,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/20237/c2542e6a85e6638f6f56b1952fa823b2.JPG
40,12738,金沢市,36.592849,136.628826,NTTドコモ西都ビルポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",ＮＴＴドコモ北陸支社,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","A,Bポートあり",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/81461/1397cd49776945f379d05459c5afb1ad.jpeg
41,12739,金沢市,36.612003,136.603794,大野町・直源醤油ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",直源醤油,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/20676/8dfdecfe918a5ac06d6ce3c07726bd0e.jpeg
42,12740,金沢市,36.6010357,136.5942091,金石バスターミナル前ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",市営金石バス停前駐輪場,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/66639/2802514fe925ae0c452caae8fc255fb2.jpeg
43,12741,金沢市,36.569659,136.660728,セブンイレブン金沢大手町店ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",セブンイレブン金沢大手町店,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/12832/d4e26ab1dbfb46fe2ca3057bc020d86e.JPG
44,12742,金沢市,36.544785,136.654136,セブンイレブン金沢泉野町店ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",セブンイレブン金沢泉野町店,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/74875/52d81debbf3b19b6998dd7397ac3ff5f.jpg
45,12743,金沢市,36.581056,136.656564,セブンイレブン金沢京町店ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",セブンイレブン金沢京町店,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/12467/551fe11f40d7be9e14de5d1c76d34a47.jpeg
46,12744,金沢市,36.572639,136.656222,セブンイレブン金沢袋町店ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",セブンイレブン金沢袋町店,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/69616/fb0559062b7ea721eed021adee08a831.JPG
47,12745,金沢市,36.584562,136.663595,セブンイレブン金沢浅野本町店ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",セブンイレブン金沢浅野本町店,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/18748/6ddcfabee717327d63ca1eea125fdc1d.jpg
48,12746,金沢市,36.573332758245,136.64711254944,セブンイレブン金沢芳斉二丁目店ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,920-0033,セブンイレブン金沢芳斉二丁目店,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/29053/30ef425119dc4f25441471668bb7f8b6.JPG
49,12747,金沢市,36.608178300702,136.61365914356,金沢港クルーズターミナルポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,920-0033,日本、〒920-0332 金沢市無量寺町ル 金沢港クルーズターミナル（バス）,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/54585/37858eec0ac8b85c009e07a8a5436189.jpg
50,12748,金沢市,36.5820278,136.6401524,ファミリーマート金沢けやき通り店ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,920-0033,ファミリーマート金沢けやき通り店,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/57361/e154deb2e1c954831dc6612748c94292.JPG
51,12749,金沢市,36.588306012069,136.63273235523,ファミリーマート金沢中央市場店ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",ファミリーマート金沢中央市場店,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/12266/a2d0768819d4825ecbaf49132ec954b2.JPG
52,12750,金沢市,36.558372503384,136.67869676134,ファミリーマート金沢天神町ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,"",ファミリーマート金沢天神町店,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/63395/4b529a1633ad755544bb13b70db3690c.JPG
53,12751,金沢市,36.596279460202,136.62648991548,セブンイレブン金沢石川県庁前店ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,920-0033,日本、〒920-8201 金沢市鞍月東２丁目１３,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/41255/c7991e9832aebbb40747124d15ff3106.JPG
54,12752,金沢市,36.592081665119,136.67119772019,ファミリーマート東金沢駅前店ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,920-0033,日本、〒920-0802 金沢市三池町１８９−１,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/06312/8b79c9556fe37de2a2178b5628ded1c8.JPG
55,12753,金沢市,36.554838913336,136.65725705542,ファミリーマート金沢幸町店ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,920-0033,日本、〒920-0968 金沢市幸町１３−２６,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/45601/99c79f3fcdc58d4c1a96b0c548a71dfd.JPG
56,12754,金沢市,36.548064094203,136.64894997026,ローソン金沢弥生店ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,920-0033,日本、〒921-8036 金沢市弥生１丁目１９−１５,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/15069/9cfb65fcf937226a3289724096cef85e.JPG
57,12755,金沢市,36.547526701216,136.64276446601,ローソン金沢泉店ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,920-0033,日本、〒921-8041 金沢市泉２丁目６−２,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/65506/48b931461a9cb995df3fd8b38bad1e9f.JPG
58,12756,金沢市,36.556175929467,136.64861694931,ローソン金沢野町一丁目店ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,920-0033,日本、〒921-8031 金沢市野町１丁目２−３４,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/86483/caf4bffc13f01b5e2bddef5fd96e53ba.JPG
59,12757,金沢市,36.573639584431,136.64945362965,ローソン金沢芳斉二丁目店ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,920-0033,日本、〒920-0862 金沢市芳斉２丁目５−２７,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,""
60,12758,金沢市,36.583606771452,136.63531699269,ローソン金沢駅西本町店ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,920-0033,日本、〒920-0025 金沢市駅西本町３丁目６−６０１,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/12367/bbb6a5165fb2f24e528641912f1c5c70.JPG
61,12759,金沢市,36.581393529527,136.63204745256,ローソン金沢若宮町店ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,920-0033,日本、〒920-0053 金沢市若宮町ホ−３８−１,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/69474/a861605809f8874b94107c8b46584c4e.JPG
62,12760,金沢市,36.585897097521,136.66841095226,ローソン金沢神宮寺二丁目店ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,920-0033,日本、〒920-0806 金沢市神宮寺２丁目１６−１５ 武蔵デンキセンター,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/86189/2faed06ae136fe73fbb1f8651a864f85.JPG
63,12761,金沢市,36.547545544923,136.67900229526,ファミリーマート金沢小立野店ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,920-0033,日本、〒920-0942 金沢市小立野３丁目２７−１９,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/35984/309be5675ddbd1360af259c72bf94fb1.JPG
64,12762,金沢市,36.552909830075,136.66365579437,ファミリーマート金沢菊川店ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,920-0033,日本、〒920-0964 金沢市本多町１丁目１８−１８番３号,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/80262/f73fdb9a3e1b8398713d142e130a2b59.JPG
65,12763,金沢市,36.548733909028,136.65718969311,ファミリーマート金沢寺町店ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,920-0033,日本、〒921-8033 金沢市寺町１丁目２−番１８号,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/64873/8e1f1663abf36749b19a6cdf8332ba3f.JPG
66,12764,金沢市,36.575821831384,136.63733408653,長田・金沢彩の庭ポート,「まちのり」はどこでも借りられ、どこでも返すことができるシェアサイクルサービスです。観光はもちろん、通勤や通学、買物など普段の移動手段にとても便利です。,920-0033,日本、〒920-0043 金沢市長田２丁目４−８,076-255-1747,"","",日月火水木金土,00:00,23:59,"","●「１回会員」　最初の30分　165円／回
●「月額会員」　基本料金　1,650円／月　最初の30分　0円／回
（１回会員、月額会員とも、30分を越えると、110円ずつ追加
●「１日パス」　WEBから購入　1,430円／日　提携窓口で購入　1,650円／日","",http://www.machi-nori.jp/,9:00～18:00,http://infra-media.city.kanazawa.ishikawa.jp/images/99423/b92793548a0445168864d8a0c0f2e6e4.JPG
